"Status","FeatureType","PropertyName","SubPropertyName","GISPropNum","OMPPropID","Borough","District","x","y"
"Activated","Misting Station","Newtown Barge Playground",,"B135","B135","Brooklyn","B-01","-73.95978270211","40.73598205072"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.93491328643","40.78363160728"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.93414828012","40.78337122485"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.82981339481","40.5793258574"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.82858494437","40.57969661822"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.93161423013","40.78284375597"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.82726315245","40.58006330292"
"Activated","Misting Station","Sgt. William Dougherty Playground",,"B096","B096","Brooklyn","B-01","-73.93709169676","40.72377916545"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.82643703139","40.58029961025"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.82487706012","40.58076896181"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.82371941842","40.58109245411"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.82274845848","40.58133690552"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.81617490233","40.58316700297"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.81271056255","40.58399077597"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.81157330629","40.58427025336"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.80952409903","40.58498727431"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.80818835868","40.58547859248"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.8064073727","40.58593894488"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.80550293268","40.58600086848"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.80462531455","40.58607501288"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.8034129563","40.58616463832"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.80210618447","40.58625670894"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.80101184353","40.58626893016"
"Activated","Misting Station","Rockaway Beach Boardwalk",,"Q163","Q163","Queens","Q-14","-73.77469187035","40.59155825128"
"Activated","Misting Station","Beach 17 Playground",,"Q162J","Q162J","Queens","Q-14","-73.7500970945","40.59426181733"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.92606790796","40.78371012688"
"Activated","Drinking Fountain Spray Adapter","Flushing Meadows Corona Park",,"Q099","Q099","Queens","Q-15","-73.84229992225","40.74360123115"
"Activated","Hydrant Spray Cap","Flushing Meadows Corona Park",,"Q099","Q099","Queens","Q-15","-73.84187907237","40.7430662511"
"Activated","Drinking Fountain Spray Adapter","Flushing Meadows Corona Park",,"Q099","Q099","Queens","Q-15","-73.84000423237","40.74456144033"
"Activated","Drinking Fountain Spray Adapter","Flushing Meadows Corona Park",,"Q099","Q099","Queens","Q-15","-73.83668095403","40.75035043899"
"Activated","Drinking Fountain Spray Adapter","Flushing Meadows Corona Park",,"Q099","Q099","Queens","Q-15","-73.84426019109","40.74556786077"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.91672453983","40.79188407262"
"Activated","Drinking Fountain Spray Adapter","Flushing Meadows Corona Park",,"Q099","Q099","Queens","Q-15","-73.84955517037","40.74189942189"
"Activated","Drinking Fountain Spray Adapter","Flushing Meadows Corona Park",,"Q099","Q099","Queens","Q-15","-73.850498749","40.74614130059"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.91490516303","40.79277951814"
"Activated","Hydrant Spray Cap","Flushing Meadows Corona Park",,"Q099","Q099","Queens","Q-15","-73.85199247908","40.7462282404"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.91528710315","40.79336176059"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.91987216372","40.79421206079"
"Activated","CS Spray Adapter","Claremont Park",,"X008","X008","Bronx","X-04","-73.90690643213","40.84151218729"
"Activated","CS Spray Adapter","Claremont Park",,"X008","X008","Bronx","X-04","-73.90805644349","40.83768612819"
"Activated","Misting Station","John Hancock Playground",,"B237","B237","Brooklyn","B-03","-73.9551164017","40.68221678317"
"Broken","Misting Station","Betty Carter Park",,"B592","B592","Brooklyn","B-02","-73.97703291719","40.68714011176"
"Activated","Misting Station","Fulton Park",,"B038","B038","Brooklyn","B-03","-73.93383519228","40.67964501324"
"Activated","Misting Station","Jackie Robinson Park Playground",,"B294","B294","Brooklyn","B-03","-73.92734347543","40.68034270431"
"Activated","Misting Station","Thomas Boyland Park",,"B381","B381","Brooklyn","B-04","-73.90738063662","40.68208976393"
"Activated","Misting Station","Murray Playground",,"Q141","Q141","Queens","Q-02","-73.94873660904","40.74739189267"
"Activated","Misting Station","Murray Playground",,"Q141","Q141","Queens","Q-02","-73.94884658018","40.74705660735"
"Activated","Misting Station","Murray Playground",,"Q141","Q141","Queens","Q-02","-73.94781393007","40.74727403516"
"Activated","Misting Station","Murray Playground",,"Q141","Q141","Queens","Q-02","-73.94794804025","40.74683105114"
"Activated","Misting Station","Queensbridge Park",,"Q104","Q104","Queens","Q-01","-73.94789868672","40.75714447751"
"Activated","Misting Station","Newtown Playground",,"Q041","Q041","Queens","Q-04","-73.8696028744","40.73636674601"
"Activated","Misting Station","Maurice A FitzGerald Playground",,"Q337","Q337","Queens","Q-09","-73.83924041298","40.69041155632"
"Activated","Misting Station","Detective Keith L Williams Park","K.l. Williams Playground (Tennis)","Q121","Q121-02","Queens","Q-12","-73.78521563697","40.70412888554"
"Activated","Misting Station","Mapes Pool",,"X236","X236","Bronx","X-06","-73.88668348735","40.84686817842"
"Activated","Misting Station","Monsignor Raul Del Valle Square",,"X009","X009","Bronx","X-02","-73.89063059994","40.82072068336"
"Activated","Buckner Box Spray Adapter","Pulaski Park",,"X041","X041","Bronx","X-01","-73.92522676317","40.80551438468"
"Activated","RPZ Spray Adapter","Pulaski Park",,"X041","X041","Bronx","X-01","-73.92404559837","40.80516483494"
"Activated","Buckner Box Spray Adapter","People's Park",,"X103","X103","Bronx","X-01","-73.91702210525","40.8093464048"
"Activated","CS Spray Adapter","Clark Playground",,"X200","X200","Bronx","X-01","-73.9211663844","40.81397884278"
"Activated","Buckner Box Spray Adapter","Bathgate Playground",,"X252","X252","Bronx","X-06","-73.89448201151","40.85208901874"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.91837714112","40.7933487709"
"Activated","Hydrant Spray Cap","Randall's Island Park",,"M107","M107","Manhattan","M-11R","-73.92357542472","40.80125071445"
"Activated","Drinking Fountain Spray Adapter","Eae J Mitchell Park",,"X267","X267","Bronx","X-03","-73.88417754706","40.83648560252"
"Activated","Drinking Fountain Spray Adapter","Aqueduct Walk","Morton Plgd","X001A","X001A-01","Bronx","X-05","-73.91419545885","40.85115298551"
"Activated","Buckner Box Spray Adapter","Bill Rainey Park",,"X255","X255","Bronx","X-02","-73.89706178496","40.81962853722"
"Activated","Buckner Box Spray Adapter","Tiffany Playground",,"X190","X190","Bronx","X-02","-73.89421043249","40.82480627104"
"Activated","CS Spray Adapter","Magenta Playground",,"X214","X214","Bronx","X-12","-73.8677542999","40.8737243697"
"Activated","Buckner Box Spray Adapter","Rev J Polite Playground",,"X116","X116","Bronx","X-02","-73.89790424116","40.82679238468"
"Not Yet Activated","Misting Station","P.S. 155 Playground",,"M239","M239","Manhattan","M-11","-73.93541716623","40.79745475552"
"Activated","Buckner Box Spray Adapter","Watson Gleason Playground",,"X124","X124","Bronx","X-09","-73.86877287585","40.82769157332"
"Activated","Ground Hydrant Spray Adapter","Lyons Square Park",,"X029","X029","Bronx","X-02","-73.88816222222","40.8223599636"
"Activated","Buckner Box Spray Adapter","Vidalia Park",,"X266","X266","Bronx","X-06","-73.88143315227","40.84419406011"
"Activated","Buckner Box Spray Adapter","Vidalia Park",,"X266","X266","Bronx","X-06","-73.88165792171","40.84378901666"
"Not Yet Activated","Other","Rev Lena Irons Unity Park",,"X286","X286","Bronx","X-03","-73.90685732418","40.83095635787"
"Activated","Misting Station","Howard Bennett Playground",,"M217","M217","Manhattan","M-10","-73.93861668298","40.81352477285"
"Activated","Buckner Box Spray Adapter","Rev Lena Irons Unity Park",,"X286","X286","Bronx","X-03","-73.90651115091","40.83116622541"
"Activated","Drinking Fountain Spray Adapter","Benjamin Gladstone Square",,"X022","X022","Bronx","X-02","-73.89093122951","40.82538120497"
"Broken","Misting Station","Heckscher Playground",,"B139","B139","Brooklyn","B-04","-73.91818373675","40.69495156203"
"Broken","Misting Station","Pulaski Playground",,"B322","B322","Brooklyn","B-03","-73.94187970447","40.69341412218"
"Activated","Misting Station","Sheltering Arms Playground",,"M190","M190","Manhattan","M-09","-73.95532158525","40.81496849279"
"Activated","Misting Station","Lt. Wm. Tighe Triangle",,"M180","M180","Manhattan","M-12","-73.9281351876","40.86586819355"
"Activated","Misting Station","Highbridge Park",,"M037","M037","Manhattan","M-12A","-73.93312710325","40.84425082469"
"Activated","Buckner Box Spray Adapter","Washington Park",,"X280","X280","Bronx","X-06","-73.89320219022","40.8559749702"
"Activated","Misting Station","Railroad Park",,"X032","X032","Bronx","X-03","-73.91529451123","40.82498928536"
"Activated","Misting Station","Railroad Park",,"X032","X032","Bronx","X-03","-73.91557843596","40.82511819875"
"Activated","Buckner Box Spray Adapter","Rose Hill Park",,"X042","X042","Bronx","X-06","-73.8904359583","40.86208911695"
"Activated","Other","Fox Playground",,"X247","X247","Bronx","X-02","-73.89837403574","40.81516336189"
"Activated","Buckner Box Spray Adapter","Lozada Playground",,"X131","X131","Bronx","X-01","-73.92517951742","40.8077396426"
"Activated","Misting Station","D'Auria-Murphy Triangle",,"X068","X068","Bronx","X-06","-73.88906387652","40.85330032122"
"Activated","Misting Station","Fred Samuel Playground",,"M160","M160","Manhattan","M-10","-73.93943880475","40.81694270875"
"Activated","Misting Station","William McCray Playground",,"M110","M110","Manhattan","M-10","-73.93763444588","40.81551870404"
"Broken","Misting Station","Powell Playground",,"B156","B156","Brooklyn","B-16","-73.90478222938","40.6713184021"
"Activated","Drinking Fountain Spray Adapter","Marconi Park",,"Q127","Q127","Queens","Q-12","-73.79547194985","40.69402651888"
"Activated","Misting Station","Captain Rivera Playground",,"X194","X194","Bronx","X-01","-73.90692533701","40.81810200498"
"Activated","Misting Station","Macombs Dam Park",,"X030","X030-01","Bronx","X-04","-73.92965952651","40.82832572605"
"Activated","Misting Station","Behagen Playground",,"X166","X166","Bronx","X-03","-73.90099762829","40.82549726826"
"Activated","Misting Station","Nelson Playground",,"X168","X168","Bronx","X-04","-73.92698240875","40.8349079174"
"Activated","Misting Station","Beanstalk Playground",,"X283","X283","Bronx","X-05","-73.91669542869","40.85401524319"
"Activated","Misting Station","Gouverneur Playground",,"X222","X222","Bronx","X-03","-73.90328493271","40.83577425581"
"Activated","Misting Station","Noble Playground",,"X123","X123","Bronx","X-09","-73.87254189693","40.83688914687"
"Activated","RPZ Spray Adapter","Andrews Grove",,"Q045","Q045","Queens","Q-02","-73.9549988401","40.74342450162"
"Activated","Drinking Fountain Spray Adapter","Playground One Forty",,"Q220E","Q220E","Queens","Q-12","-73.80094715547","40.67477065333"
"Activated","Drinking Fountain Spray Adapter","Springfield Park","Springfield Playground","Q107","Q107-01","Queens","Q-13","-73.76264768328","40.6598326343"
"Activated","Ground Hydrant Spray Adapter","Asser Levy Park",,"B080","B080","Brooklyn","B-13","-73.97259985929","40.57545107715"
"Broken","Drinking Fountain Spray Adapter","Ethan Allen Playground",,"B345","B345","Brooklyn","B-05","-73.88658839943","40.65579607492"
"Broken","Drinking Fountain Spray Adapter","Herbert Von King Park",,"B088","B088","Brooklyn","B-03","-73.94570976714","40.68980846921"
"Broken","Drinking Fountain Spray Adapter","Robert E. Venable Park",,"B380","B380","Brooklyn","B-05","-73.86491640472","40.67456525755"
"Broken","Drinking Fountain Spray Adapter","Poor Richard's Playground",,"M230","M230","Manhattan","M-11","-73.94265553318","40.79270335548"
"Broken","Misting Station","Marion Hopkinson Playground",,"B110","B110","Brooklyn","B-16","-73.91307548408","40.681783379"
"Broken","Misting Station","South Pacific Playground",,"B153","B153","Brooklyn","B-16","-73.91953685539","40.67569710789"
"Activated","CS Spray Adapter","Nautilus Playground",,"B268","B268","Brooklyn","B-13","-73.99595925804","40.57171906731"
"Activated","Misting Station","Lafayette Playground",,"B106B","B106B","Brooklyn","B-13","-73.98513857252","40.59502957411"
"Activated","Misting Station","Irving Square Park",,"B049","B049","Brooklyn","B-04","-73.90974897798","40.69201355636"
"Broken","Drinking Fountain Spray Adapter","Breukelen Ballfields","Breukelen Plgd","B247","B247-01","Brooklyn","B-18","-73.89364750493","40.65395228365"
"Activated","CS Spray Adapter","Carver Playground",,"B347","B347","Brooklyn","B-03","-73.92038985274","40.68047273658"
"Activated","Misting Station","Lafayette Playground",,"B106B","B106B","Brooklyn","B-03","-73.93003999842","40.69249251977"
"Broken","Misting Station","South Oxford Park",,"B407","B407","Brooklyn","B-02","-73.97274652943","40.68356529294"
"Activated","Buckner Box Spray Adapter","Detective Keith L Williams Park",,"Q121","Q121-02","Queens","Q-12","-73.78502251842","40.70296580066"
"Activated","Drinking Fountain Spray Adapter","Wayanda Park",,"Q082","Q082","Queens","Q-13","-73.738668304","40.71087530748"
"Activated","Drinking Fountain Spray Adapter","Pat Williams Playground",,"Q133","Q133","Queens","Q-13","-73.72960771102","40.71315719408"
"Broken","Misting Station","Mae Grant Playground",,"M213","M213","Manhattan","M-11","-73.94939047301","40.7924213985"
"Activated","Drinking Fountain Spray Adapter","Moore Playground",,"M204","M204","Manhattan","M-11","-73.93879921785","40.80946699032"
"Activated","Misting Station","Moore Playground",,"M204","M204","Manhattan","M-11","-73.93851997632","40.80951886802"
"Activated","Drinking Fountain Spray Adapter","Howard Bennett Playground",,"M217","M217","Manhattan","M-10","-73.93889601643","40.81394482047"
"Activated","Misting Station","Mitchel Square",,"M054","M054","Manhattan","M-12A","-73.9399211902","40.84017600685"
,"Misting Station","Monsignor Kett Playground",,"M199","M199","Manhattan","M-12A","-73.92063278093","40.86271300539"
"Activated","Misting Station","Robert L. Clinkscales Playground and Community Garden",,"M355","M355","Manhattan","M-10","-73.93991352956","40.82275110722"
"Activated","Drinking Fountain Spray Adapter","Detective Keith L Williams Park",,"Q121","Q121-02","Queens","Q-12","-73.78405141892","40.70316717762"
"Activated","Buckner Box Spray Adapter","Courtney Callender Playground",,"M155","M155","Manhattan","M-10","-73.94028028332","40.81009800484"
"Activated","Buckner Box Spray Adapter","Courtney Callender Playground",,"M155","M155","Manhattan","M-10","-73.93978608379","40.81019713754"
"Activated","Buckner Box Spray Adapter","James Weldon Johnson Playground",,"M111","M111","Manhattan","M-11","-73.9418985614","40.79705694835"
"Broken","Misting Station","Sledge Playground",,"B097","B097","Brooklyn","B-18","-73.89761306437","40.6380838854"
"Broken","Drinking Fountain Spray Adapter","100% Playground",,"B342","B342","Brooklyn","B-18","-73.89937578827","40.64653774323"
"Activated","CS Spray Adapter","Eleanor Roosevelt Playground",,"B359","B359","Brooklyn","B-03","-73.9357952371","40.69271083148"
"Broken","Ground Hydrant Spray Adapter","Kennedy King Playground",,"B304","B304","Brooklyn","B-17","-73.92169597641","40.65863748914"
"Activated","Misting Station","Sternberg Park",,"B055","B055","Brooklyn","B-01","-73.94764886729","40.70611981618"
"Broken","RPZ Spray Adapter","Green Central Knoll",,"B395","B395","Brooklyn","B-04","-73.93285478322","40.70132959757"
"Activated","Misting Station","Lafayette Playground",,"B106B","B106B","Brooklyn","B-13","-73.98502839243","40.59407447437"
"Activated","RPZ Spray Adapter","Lewis Playground",,"B430","B430","Brooklyn","B-03","-73.93795848882","40.69531027357"
"Broken","Misting Station","Lincoln Terrace / Arthur S. Somers Park","Lincoln Terrace Park / Arthur S. Somers Playground","B054","B054-01","Brooklyn","B-08","-73.92774085251","40.66622794331"
"Activated","Buckner Box Spray Adapter","Dr. Ronald E. McNair Playground",,"M285","M285","Manhattan","M-11","-73.93818484767","40.80257294922"
"Activated","Misting Station","Dr. Ronald E. McNair Playground",,"M285","M285","Manhattan","M-11","-73.93798930133","40.80242715606"
"Activated","Misting Station","Haffen Park",,"X196","X196","Bronx","X-12","-73.83960145085","40.87274602573"
"Activated","Misting Station","Haffen Park",,"X196","X196","Bronx","X-12","-73.83990588135","40.87291777201"
"Activated","Other","Poe Park",,"X040","X040","Bronx","X-07","-73.89514646235","40.86451647437"
"Activated","Misting Station","Joyce Kilmer Park",,"X028","X028","Bronx","X-04","-73.92201538267","40.8287375909"
"Activated","Misting Station","Edenwald Playground",,"X165","X165","Bronx","X-12","-73.84510787978","40.88407794759"
"Activated","Misting Station","Abigail Playground",,"X216","X216","Bronx","X-01","-73.90468022388","40.81720253458"
"Activated","Misting Station","Slattery Playground",,"X085","X085","Bronx","X-05","-73.89866159322","40.85752700985"
"Activated","Misting Station","Ranaqua Playground",,"X272","X272","Bronx","X-01","-73.92219922554","40.80679674621"
"Activated","Misting Station","Joyce Kilmer Park",,"X028","X028","Bronx","X-04","-73.92302420148","40.82843412459"
"Activated","Misting Station","Joyce Kilmer Park",,"X028","X028","Bronx","X-04","-73.92297586776","40.82759303321"
"Activated","Misting Station","Bushwick Playground",,"B017","B017","Brooklyn","B-04","-73.9117067357","40.69584322614"
"Activated","Misting Station","Ocean Hill Playground",,"B144","B144","Brooklyn","B-16","-73.91195661581","40.67458397896"
"Activated","Misting Station","Mott Playground",,"X115","X115","Bronx","X-04","-73.91503246698","40.83113615368"
"Activated","CS Spray Adapter","Grove Hill Playground",,"X235","X235","Bronx","X-01","-73.9085553674","40.8198776924"
"Activated","Misting Station","Givan Square","Angelo Campanaro Plgd","X187","X187-01","Bronx","X-12","-73.84276918626","40.86815280544"
"Activated","Misting Station","St. Nicholas Park","Arlington Edinboro Playground","M077","M077-03","Manhattan","M-09","-73.9467098915","40.82047480988"
"Activated","Misting Station","Wakefield Playground",,"X188","X188","Bronx","X-12","-73.8543192446","40.90173263829"
"Activated","Misting Station","Story Playground",,"X204","X204","Bronx","X-09","-73.86312640257","40.82252623596"
"Activated","Misting Station","Colgate Close",,"X195A","X195A","Bronx","X-09","-73.88179570089","40.8239825562"
"Activated","Misting Station","Holcombe Rucker Park",,"M216","M216","Manhattan","M-10","-73.93600876364","40.82901100906"
"Activated","Buckner Box Spray Adapter","Holcombe Rucker Park",,"M216","M216","Manhattan","M-10","-73.936265306","40.82938573434"
"Activated","Misting Station","Carmansville Playground",,"M018","M018","Manhattan","M-09","-73.94436682933","40.82916426369"
"Activated","Misting Station","Springfield Park",,"Q107","Q107-01","Queens","Q-13","-73.76287637699","40.66105342302"
"Activated","Misting Station","Springfield Park",,"Q107","Q107-01","Queens","Q-13","-73.76291661012","40.66093948182"
"Activated","Drinking Fountain Spray Adapter","Delphin H. Greene Playground",,"Q307","Q307","Queens","Q-13","-73.72872631287","40.68474093807"
"Activated","CS Spray Adapter","Delphin H. Greene Playground",,"Q307","Q307","Queens","Q-13","-73.72867803313","40.68461483368"
"Activated","Buckner Box Spray Adapter","St. Nicholas Playground South",,"M211A","M211A","Manhattan","M-10","-73.94748141179","40.810793716"
"Broken","Misting Station","St. Nicholas Playground North",,"M211B","M211B","Manhattan","M-10","-73.94635173736","40.81236421503"
"Activated","Buckner Box Spray Adapter","Martin Luther King Jr. Playground",,"M198","M198","Manhattan","M-10","-73.95066848045","40.79989815928"
"Activated","Misting Station","Cherry Tree Park",,"M215","M215","Manhattan","M-11","-73.94686983694","40.78740038034"
,"Misting Station","White Playground",,"M148","M148","Manhattan","M-11","-73.94570267352","40.79184009328"
"Activated","Misting Station","Frost Playground",,"B257","B257","Brooklyn","B-01","-73.93916456599","40.7187913507"
"Activated","Drinking Fountain Spray Adapter","Marcy Playground",,"B217","B217","Brooklyn","B-03","-73.94973180552","40.69564527254"
"Activated","Misting Station","Lafayette Gardens Playground",,"B317","B317","Brooklyn","B-03","-73.95744929221","40.69005741358"
"Broken","Misting Station","Livonia Park",,"B367","B367","Brooklyn","B-16","-73.90200513038","40.66381182328"
"Activated","Misting Station","Renaissance Playground",,"M245","M245","Manhattan","M-10","-73.94179544429","40.82144030086"
"Activated","Drinking Fountain Spray Adapter","Flushing Meadows Corona Park","Meadow Lake North","Q099","Q099","Queens","Q-15","-73.84198438332","40.74033945419"
"Broken","Misting Station","Sumner Playground",,"B263","B263","Brooklyn","B-03","-73.94282032202","40.69711033671"
"Activated","CS Spray Adapter","Flushing Meadows Corona Park",,"Q099","Q099","Queens","Q-15","-73.83385493898","40.75095762403"
"Activated","Misting Station","Jennie Jerome Playground",,"X148C5","X148C5","Bronx","X-05","-73.91367040791","40.84552213014"
"Activated","Other","Quarry Ballfields",,"X263","X263","Bronx","X-06","-73.88991487396","40.85017536078"
